model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
internvl4b,low_acc,vcd,sequence,1.0,1.0,0.995,0.9748743718592965,0.964824120603015
internvl4b,low_acc,m3id,sequence,0.2,0.20100502512562815,0.2,0.9833333333333333,0.95
internvl4b,low_acc,m3id,sequence,0.4,0.40033500837520936,0.3983333333333333,0.9832635983263598,0.9707112970711297
internvl4b,low_acc,m3id,sequence,0.6,0.6013400335008375,0.5983333333333334,0.9805013927576601,0.9721448467966574
internvl4b,low_acc,m3id,sequence,0.8,0.8006700167504187,0.7966666666666666,0.9769874476987448,0.9769874476987448
internvl4b,low_acc,m3id,sequence,1.0,1.0,0.995,0.9748743718592965,0.9748743718592965
internvl4b,low_acc,dola,sequence,0.2,0.20100502512562815,0.2,0.9833333333333333,0.925
internvl4b,low_acc,dola,sequence,0.4,0.40033500837520936,0.3983333333333333,0.9832635983263598,0.9456066945606695
internvl4b,low_acc,dola,sequence,0.6,0.6013400335008375,0.5983333333333334,0.9805013927576601,0.9554317548746518
internvl4b,low_acc,dola,sequence,0.8,0.8006700167504187,0.7966666666666666,0.9769874476987448,0.9623430962343096
internvl4b,low_acc,dola,sequence,1.0,1.0,0.995,0.9748743718592965,0.9631490787269682
internvl4b,low_acc,deco,sequence,0.2,0.20100502512562815,0.2,0.9833333333333333,0.9833333333333333
internvl4b,low_acc,deco,sequence,0.4,0.40033500837520936,0.3983333333333333,0.9832635983263598,0.9832635983263598
internvl4b,low_acc,deco,sequence,0.6,0.6013400335008375,0.5983333333333334,0.9805013927576601,0.9777158774373259
internvl4b,low_acc,deco,sequence,0.8,0.8006700167504187,0.7966666666666666,0.9769874476987448,0.9769874476987448
internvl4b,low_acc,deco,sequence,1.0,1.0,0.995,0.9748743718592965,0.9748743718592965
internvl4b,high_acc,vcd,sequence,0.2,0.2003338898163606,0.2,0.0,0.013605442176870748
internvl4b,high_acc,vcd,sequence,0.4,0.4006677796327212,0.4,0.004166666666666667,0.0375
internvl4b,high_acc,vcd,sequence,0.6,0.6010016694490818,0.6,0.03611111111111111,0.065
internvl4b,high_acc,vcd,sequence,0.8,0.8013355592654424,0.8,0.07708333333333334,0.09375
internvl4b,high_acc,vcd,sequence,1.0,1.0,0.9983333333333333,0.14858096828046743,0.16193656093489148
internvl4b,high_acc,m3id,sequence,0.2,0.2003338898163606,0.2,0.0,0.03333333333333333
internvl4b,high_acc,m3id,sequence,0.4,0.4006677796327212,0.4,0.004166666666666667,0.03333333333333333
