model,subset,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_lo,delta_hi,yes_direct,yes_vcd
q9b,random,300,5,7,0.92,0.9133333333333333,-0.006666666666666667,0.20833333333333334,0.025362318840579712,-0.03,0.016666666666666666,0.42,0.41333333333333333
q9b,adversarial,300,6,12,0.9033333333333333,0.8833333333333333,-0.02,0.20689655172413793,0.04428044280442804,-0.043333333333333335,0.0033333333333333335,0.43666666666666665,0.44333333333333336
llava16,random,300,3,4,0.9233333333333333,0.92,-0.0033333333333333335,0.13043478260869565,0.01444043321299639,-0.016666666666666666,0.01,0.42333333333333334,0.43333333333333335
llava16,adversarial,300,4,12,0.8933333333333333,0.8666666666666667,-0.02666666666666667,0.125,0.04477611940298507,-0.05,-0.006666666666666667,0.4533333333333333,0.4866666666666667
