model,condition,file,category,n_paths,n_measured,n_unstable,any_default,any_up_to_two,n_validated
llava16,original,peking_duck_eval_031.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,original,pho_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,pho_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,pizza_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,pizza_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,poutine_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,poutine_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,prime_rib_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,prime_rib_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,ramen_eval_029.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,original,ramen_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,red_velvet_cake_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,red_velvet_cake_eval_042.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,risotto_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,risotto_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,sashimi_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,sashimi_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,spaghetti_bolognese_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,spaghetti_bolognese_eval_045.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,original,spaghetti_carbonara_eval_027.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,original,spaghetti_carbonara_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,steak_eval_024.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,steak_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,sushi_eval_039.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,sushi_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,takoyaki_eval_031.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,takoyaki_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,tiramisu_eval_036.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,tiramisu_eval_044.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,original,waffles_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,original,waffles_eval_040.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,apple_pie_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,apple_pie_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,beignets_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,beignets_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,bibimbap_eval_024.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,bibimbap_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,breakfast_burrito_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,breakfast_burrito_eval_037.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,bruschetta_eval_030.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,bruschetta_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,ceviche_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,ceviche_eval_030.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,chicken_curry_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,chicken_curry_eval_037.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,chicken_wings_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,chicken_wings_eval_033.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,churros_eval_042.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,churros_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,club_sandwich_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,club_sandwich_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,croque_madame_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,croque_madame_eval_039.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,cup_cakes_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,cup_cakes_eval_038.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,deviled_eggs_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,deviled_eggs_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,donuts_eval_027.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,donuts_eval_030.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,dumplings_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,dumplings_eval_037.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,eggs_benedict_eval_035.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,eggs_benedict_eval_039.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,falafel_eval_028.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,falafel_eval_047.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,filet_mignon_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,filet_mignon_eval_046.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,fish_and_chips_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,fish_and_chips_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,foie_gras_eval_029.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,foie_gras_eval_037.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,french_fries_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,french_fries_eval_042.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,fried_rice_eval_026.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,fried_rice_eval_034.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,garlic_bread_eval_039.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,garlic_bread_eval_044.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,greek_salad_eval_032.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,greek_salad_eval_045.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,gyoza_eval_024.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,gyoza_eval_041.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,hot_dog_eval_030.jpg,remaining_score_constraints_incompatible,2,2,0,False,False,0
llava16,short32,hot_dog_eval_040.jpg,every_name_excluded_by_support,2,2,0,False,False,0
llava16,short32,huevos_rancheros_eval_025.jpg,every_name_excluded_by_support,2,2,0,False,False,0
