model,condition,file,target_name,status,robust_stable,interval_empty,contains_default,empty_reason,witness_alpha,validation_passed,category
llava16,original,dumplings_eval_029.jpg,dumplings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,dumplings_eval_029.jpg,Dumplings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,dumplings_eval_037.jpg,dumplings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,dumplings_eval_037.jpg,Dumplings,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,eggs_benedict_eval_035.jpg,eggs benedict,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,eggs_benedict_eval_035.jpg,Eggs benedict,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,eggs_benedict_eval_039.jpg,eggs benedict,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,eggs_benedict_eval_039.jpg,Eggs benedict,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,falafel_eval_028.jpg,falafel,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,falafel_eval_028.jpg,Falafel,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,falafel_eval_047.jpg,falafel,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,falafel_eval_047.jpg,Falafel,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,filet_mignon_eval_026.jpg,filet mignon,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,filet_mignon_eval_026.jpg,Filet mignon,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,filet_mignon_eval_046.jpg,filet mignon,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,filet_mignon_eval_046.jpg,Filet mignon,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fish_and_chips_eval_026.jpg,fish and chips,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fish_and_chips_eval_026.jpg,Fish and chips,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fish_and_chips_eval_044.jpg,fish and chips,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fish_and_chips_eval_044.jpg,Fish and chips,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,foie_gras_eval_029.jpg,foie gras,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,foie_gras_eval_029.jpg,Foie gras,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,foie_gras_eval_037.jpg,foie gras,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,foie_gras_eval_037.jpg,Foie gras,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,french_fries_eval_034.jpg,french fries,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,french_fries_eval_034.jpg,French fries,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,french_fries_eval_042.jpg,french fries,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,french_fries_eval_042.jpg,French fries,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,fried_rice_eval_026.jpg,fried rice,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fried_rice_eval_026.jpg,Fried rice,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fried_rice_eval_034.jpg,fried rice,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,fried_rice_eval_034.jpg,Fried rice,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,garlic_bread_eval_039.jpg,garlic bread,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,garlic_bread_eval_039.jpg,Garlic bread,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,garlic_bread_eval_044.jpg,garlic bread,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,garlic_bread_eval_044.jpg,Garlic bread,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,greek_salad_eval_032.jpg,greek salad,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,greek_salad_eval_032.jpg,Greek salad,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,greek_salad_eval_045.jpg,greek salad,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,greek_salad_eval_045.jpg,Greek salad,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,gyoza_eval_024.jpg,gyoza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,gyoza_eval_024.jpg,Gyoza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,gyoza_eval_041.jpg,gyoza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,gyoza_eval_041.jpg,Gyoza,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,hot_dog_eval_030.jpg,hot dog,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,hot_dog_eval_030.jpg,Hot dog,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,hot_dog_eval_040.jpg,hot dog,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,hot_dog_eval_040.jpg,Hot dog,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,huevos_rancheros_eval_025.jpg,huevos rancheros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,huevos_rancheros_eval_025.jpg,Huevos rancheros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,huevos_rancheros_eval_032.jpg,huevos rancheros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,huevos_rancheros_eval_032.jpg,Huevos rancheros,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,macarons_eval_044.jpg,macarons,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,macarons_eval_044.jpg,Macarons,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,macarons_eval_047.jpg,macarons,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,macarons_eval_047.jpg,Macarons,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
