dconf_high,dconf_low,dece_high,dece_low,did,did_excludes0,did_hi,did_lo,method,model,rescue_high,rescue_low
0.17559567787405533,0.25345170800433015,-0.144745621301815,0.16671723891847406,0.3114628602202891,True,0.35434921933220337,0.25367988606478276,vcd,q4b,0.09183673469387756,0.0873015873015873
0.018274481756472016,0.08034917934852488,-0.037946660018770395,0.1101637079590303,0.1481103679778007,True,0.17947753551605214,0.1017358114185569,m3id,q4b,0.01020408163265306,0.05357142857142857
0.137169828080655,0.1583688156607077,-0.12411461588233072,0.13081623659620067,0.2549308524785314,True,0.28461895382086483,0.22024985550389825,dola,q4b,0.030612244897959183,0.003968253968253968
0.1475139081363052,0.18171312626717345,-0.12801462575687583,0.17195222601710747,0.2999668517739833,True,0.33661317469048035,0.24556153235205228,deco,q4b,0.02040816326530612,0.00992063492063492
0.08170113092796369,0.18033799028896785,-0.07551306245227651,0.16538269621630514,0.24089575866858165,True,0.2821585898455232,0.19894565611953527,vcd,q9b,0.32653061224489793,0.13053097345132744
0.008159018949502043,0.0557087786238769,-0.01826877129574611,0.14734372961024444,0.16561250090599056,True,0.19544963165807241,0.1334196513596302,m3id,q9b,0.10204081632653061,0.046460176991150445
0.1044262823585851,0.1256892065700346,-0.0911944840848446,0.20567603555818403,0.29687051964302863,True,0.32797254418705896,0.26127457904194795,dola,q9b,0.10204081632653061,0.017699115044247787
0.062385104725815654,0.07592156869761738,-0.06347344418366749,0.09501028750091794,0.15848373168458543,True,0.17601212716319906,0.13918188213898486,deco,q9b,0.04081632653061224,0.008849557522123894
0.2186087765195201,0.2542844473832125,-0.18632574215531345,0.23103249037017426,0.4173582325254877,True,0.4530313577605411,0.36519741198327405,vcd,llava16,0.18691588785046728,0.03225806451612903
0.019324471498282137,0.07704470244686255,-0.017098291640480323,0.16076370796809591,0.17786199960857624,True,0.20982622528169298,0.1463552899820108,m3id,llava16,0.102803738317757,0.01697792869269949
0.139269346841658,0.11212460614753456,-0.1258557485044002,0.11113088134676213,0.23698662985116234,True,0.2549798916286478,0.2168819690713038,dola,llava16,0.0,0.0
0.05664476754990491,0.048082646340300135,-0.0587798382093509,0.05085249785333873,0.10963233606268963,True,0.12307805117964737,0.0956416911218936,deco,llava16,0.018691588785046728,0.003395585738539898
0.14936478606337666,0.23903252694671945,-0.14723339522878331,0.23152211700876546,0.3787555122375488,True,0.4077580172490947,0.33881559195897226,vcd,internvl4b,0.20224719101123595,0.020512820512820513
0.008739399085769723,0.0658563233838223,-0.032395844459533696,0.16319788555304193,0.19559373001257563,True,0.22219580753613255,0.1692479261954625,m3id,internvl4b,0.11235955056179775,0.005128205128205128
0.20671363309506446,0.37152075830926284,0.030211332688728915,0.5126632990688085,0.4824519663800796,True,0.531140107165401,0.43011171444846935,dola,internvl4b,0.20224719101123595,0.02905982905982906
0.07202853566724739,0.06293420534766181,-0.0845202757418155,0.06641527779400336,0.15093555353581886,True,0.16250076243001965,0.13585333056220159,deco,internvl4b,0.056179775280898875,0.0
