always_right_dconf,always_right_hi,always_right_lo,always_right_n,always_right_n_conf,always_wrong_dconf,always_wrong_hi,always_wrong_lo,always_wrong_n,always_wrong_n_conf,broken_dconf,broken_hi,broken_lo,broken_n,broken_n_conf,cells_similar,corrected_dconf,corrected_hi,corrected_lo,corrected_n,corrected_n_conf,method,model,same_wrong_answer_share,stratum
0.31120333733946776,0.35052919280390404,0.27589758973958534,86,86,0.24356309699847056,0.26042090890230024,0.2267153750490444,460,397,0.19132591038942337,0.27880416244268413,0.10403554033488036,10,10,no(correctedvsbroken),0.32598626376553014,0.3956668427044695,0.2596564013849605,44,44,vcd,q4b,0.6869565217391305,low_acc
0.2721912424353992,0.3461586387499289,0.20100358049220898,85,85,0.11610379109636021,0.13858838333626802,0.0961231272685643,477,414,0.42347578975287353,0.5480104096741839,0.3216062548485669,11,11,no(always_wrongvsbroken),0.5541560189039619,0.6410847855248936,0.4601821225343479,27,27,m3id,q4b,0.8511530398322851,low_acc
0.14878117957192918,0.1665237003572933,0.13264964391558393,92,92,0.1586662763581189,0.16661649906969625,0.15125590748575798,502,439,0.08633236959576607,0.12153127789497375,0.06109844893217087,4,4,no(always_wrongvsbroken),0.1146458312869072,0.1506097912788391,0.07868187129497528,2,2,dola,q4b,0.9701195219123506,low_acc
0.11720362121676221,0.14778931310377372,0.0905231572618639,81,81,0.19701812845236116,0.21134899934420548,0.18229232795425443,499,436,0.15928527514139812,0.25629796400666227,0.07549149987598261,15,15,no(always_rightvsalways_wrong),0.15393926203250885,0.27561597526073456,0.030264642834663392,5,5,deco,q4b,0.87374749498998,low_acc
0.16966494394481674,0.18260407009785454,0.1562521224810688,484,484,0.22784573233352517,0.2792072275829202,0.17763333817557342,89,53,0.23472274674309623,0.32243830133229495,0.13750129133048986,18,18,no(always_wrongvscorrected),0.36616995765103233,0.484073760650224,0.24833655423588222,9,9,vcd,q4b,0.7640449438202247,high_acc
0.017999675109801504,0.02822131528274009,0.009208311900677469,494,494,0.11924064134965177,0.18210963394920354,0.06299339366130165,97,61,0.46376756578683853,0.5956953760702163,0.3194398069754243,8,8,no(always_wrongvsbroken),0.41683655977249146,0.41683655977249146,0.41683655977249146,1,1,m3id,q4b,0.8762886597938144,high_acc
0.13580129647254943,0.1428531928896904,0.12941624021977186,500,500,0.14596603937068228,0.1675789544832403,0.12680158564599894,95,59,0.10126584023237228,0.13224855065345764,0.07028312981128693,2,2,no(correctedvsbroken),0.2878022889296214,0.4090491533279419,0.2004760205745697,3,3,dola,q4b,0.9789473684210527,high_acc
0.13516627478992008,0.14683307977508248,0.1243260312741124,486,486,0.24934417878588042,0.28421999483058846,0.21545943600436052,96,60,0.20658075716346502,0.3129044772824272,0.1042369871865958,16,16,no(always_wrongvscorrected),0.12747985124588013,0.2020401656627655,0.05291953682899475,2,2,deco,q4b,0.9583333333333334,high_acc
0.21710716484765696,0.24951450351050228,0.18335405336768648,123,123,0.20771655131311514,0.2265547657399687,0.1883871279922302,393,393,0.27489846616983415,0.3563340583965182,0.1969058553725481,25,25,no(always_wrongvscorrected),0.3054300022579856,0.3674973228314923,0.24618655082659197,59,59,vcd,q9b,0.5725190839694656,low_acc
0.06434350185037598,0.0962734915316105,0.035538096998737556,127,127,0.14618720954366185,0.16876735099723125,0.12475764517501654,431,431,0.4201527734597524,0.5356860042594018,0.3184117037182053,21,21,no(always_wrongvsbroken),0.3921505610148112,0.5064467743926104,0.2807446693203279,21,21,m3id,q9b,0.7587006960556845,low_acc
