acc_after,acc_before,ece_after,ece_before,ece_direct,high_recovered,method,model,offset_dev,stratum
0.21666666666666667,0.21666666666666667,0.265642123700657,0.4292820872152762,0.26256484829680216,,vcd,q4b,0.20093611988883753,low_acc
0.18666666666666668,0.18666666666666668,0.32365728734067095,0.37272855625583245,0.26256484829680216,,m3id,q4b,0.043671793919621095,low_acc
0.15666666666666668,0.15666666666666668,0.3036627379066331,0.39338108489300283,0.26256484829680216,,dola,q4b,0.14727132229917894,low_acc
0.14333333333333334,0.14333333333333334,0.3479038624056883,0.4345170743139096,0.26256484829680216,,deco,q4b,0.1526522264787645,low_acc
0.8216666666666667,0.8216666666666667,0.2604543801492602,0.11107440446074128,0.2558200257625563,True,vcd,q4b,0.20093611988883753,high_acc
0.825,0.825,0.2511008698370743,0.2178733657437859,0.2558200257625563,True,m3id,q4b,0.043671793919621095,high_acc
0.8383333333333334,0.8383333333333334,0.26731371844046065,0.13170540988022558,0.2558200257625563,False,dola,q4b,0.14727132229917894,high_acc
0.8133333333333334,0.8133333333333334,0.23433801094316276,0.12780540000568047,0.2558200257625563,True,deco,q4b,0.1526522264787645,high_acc
0.30333333333333334,0.30333333333333334,0.2169132747340038,0.3134009603907665,0.14801826417446134,,vcd,q9b,0.11984939712124902,low_acc
0.24666666666666667,0.24666666666666667,0.2613474689953135,0.2953619937847058,0.14801826417446134,,m3id,q9b,0.033731931966284046,low_acc
0.23833333333333334,0.23833333333333334,0.25414604287815074,0.3536942997326454,0.14801826417446134,,dola,q9b,0.11308651843941525,low_acc
0.23833333333333334,0.23833333333333334,0.1785885644164077,0.2430285516753793,0.14801826417446134,,deco,q9b,0.06764826369146969,low_acc
0.9166666666666666,0.9166666666666666,0.3235910310629787,0.2151615218818188,0.2906745843340953,False,vcd,q9b,0.11984939712124902,high_acc
0.9166666666666666,0.9166666666666666,0.3086621664278758,0.2724058130383492,0.2906745843340953,False,m3id,q9b,0.033731931966284046,high_acc
0.875,0.875,0.2605751776729567,0.19948010024925072,0.2906745843340953,True,dola,q9b,0.11308651843941525,high_acc
0.9166666666666666,0.9166666666666666,0.29419491061926284,0.22720114015042783,0.2906745843340953,True,deco,q9b,0.06764826369146969,high_acc
0.035,0.035,0.392662890682673,0.577336566473047,0.3458144494642815,,vcd,internvl4b,0.18471158337727023,low_acc
0.025,0.025,0.46877312266069276,0.5090123350173235,0.3458144494642815,,m3id,internvl4b,0.040239212356629916,low_acc
0.03666666666666667,0.03666666666666667,0.6127086890529632,0.85847774853309,0.3458144494642815,,dola,internvl4b,0.24576905948012623,low_acc
0.025,0.025,0.34885150842326523,0.4122297272582849,0.3458144494642815,,deco,internvl4b,0.06337821883501979,low_acc
0.8383333333333334,0.8383333333333334,0.2472948285155971,0.08036159773667649,0.2275949929654598,False,vcd,internvl4b,0.18471158337727023,high_acc
0.86,0.86,0.2331812957109978,0.1951991485059261,0.2275949929654598,True,m3id,internvl4b,0.040239212356629916,high_acc
0.6883333333333334,0.6883333333333334,0.017302392504696257,0.2578063256541887,0.2275949929654598,True,dola,internvl4b,0.24576905948012623,high_acc
0.85,0.85,0.2061411816631004,0.1430747172236443,0.2275949929654598,True,deco,internvl4b,0.06337821883501979,high_acc
