acc_pre_dogs,band_hi,band_lo,dece_obs,extrapolated,fit,fit_per_method_hi,fit_per_method_hit,fit_per_method_lo,fit_per_method_pred,hit,method,model,pred,stratum
0.004166666666666667,0.3859346494429528,0.01938134092121352,0.04892097341103674,True,pooled_32cells,0.37615431053807247,False,0.1084630404191178,0.24230867547859514,True,vcd,q4b,0.20265799518208316,low_acc
0.004166666666666667,0.3859346494429528,0.01938134092121352,0.0004723643884062545,True,pooled_32cells,0.22549659113066134,False,0.11041495402618634,0.16795577257842384,False,m3id,q4b,0.20265799518208316,low_acc
0.004166666666666667,0.3859346494429528,0.01938134092121352,0.09433400088714217,True,pooled_32cells,0.6699931076551742,True,-0.09549452839214734,0.2872492896315134,True,dola,q4b,0.20265799518208316,low_acc
0.004166666666666667,0.3859346494429528,0.01938134092121352,0.19000871046963663,True,pooled_32cells,0.2729828832758755,True,-0.04674639719627384,0.11311824303980082,True,deco,q4b,0.20265799518208316,low_acc
0.5527777777777778,0.200881940287044,-0.15724154311609798,0.13422385355871583,False,pooled_32cells,0.12360649075534515,False,-0.12343135159487924,8.756958023295458e-05,True,vcd,q4b,0.021820198585473016,high_acc
0.5527777777777778,0.200881940287044,-0.15724154311609798,0.0036102156568732224,False,pooled_32cells,0.0972255456280825,True,-0.0089770933738832,0.04412422612709965,True,m3id,q4b,0.021820198585473016,high_acc
0.5527777777777778,0.200881940287044,-0.15724154311609798,0.06839985831951104,False,pooled_32cells,0.4052291285550992,True,-0.3011981444406595,0.05201549205721981,True,dola,q4b,0.021820198585473016,high_acc
0.5527777777777778,0.200881940287044,-0.15724154311609798,0.18810242490015097,False,pooled_32cells,0.13858396498364292,False,-0.1564769518289623,-0.008946493422659685,True,deco,q4b,0.021820198585473016,high_acc
0.001388888888888889,0.38689956260732117,0.02024769658313988,0.08200482051405633,True,pooled_32cells,0.3774981385313343,False,0.1095720843843204,0.24353511145782736,True,vcd,q9b,0.20357362959523054,low_acc
0.001388888888888889,0.38689956260732117,0.02024769658313988,0.002856631204485871,True,pooled_32cells,0.22617405363813403,False,0.11099148186252449,0.16858276775032927,False,m3id,q9b,0.20357362959523054,low_acc
0.001388888888888889,0.38689956260732117,0.02024769658313988,0.13444779275192154,True,pooled_32cells,0.6715198580440065,True,-0.09463916437516401,0.2884403468344212,True,dola,q9b,0.20357362959523054,low_acc
0.001388888888888889,0.38689956260732117,0.02024769658313988,0.05524099816878636,True,pooled_32cells,0.27374114508176883,True,-0.046268560405078984,0.11373629233834492,True,deco,q9b,0.20357362959523054,low_acc
0.5375,0.20588318994672883,-0.15217081423116147,0.07410229568680135,False,pooled_32cells,0.13026422606107768,True,-0.11659829112905738,0.0068329674660101425,True,vcd,q9b,0.02685618785778368,high_acc
0.5375,0.20588318994672883,-0.15217081423116147,0.0028268025153213583,False,pooled_32cells,0.10063633255050228,True,-0.005490933405343103,0.04757269957257959,True,m3id,q9b,0.02685618785778368,high_acc
0.5375,0.20588318994672883,-0.15217081423116147,0.08950796775105932,False,pooled_32cells,0.4115292640169368,True,-0.29439665067051113,0.058566306673212803,True,dola,q9b,0.02685618785778368,high_acc
0.5375,0.20588318994672883,-0.15217081423116147,0.03422500102056403,False,pooled_32cells,0.14187853232401523,True,-0.15297297688534942,-0.005547222280667091,True,deco,q9b,0.02685618785778368,high_acc
