T_fit,dconf_ctrl_temp,dconf_ctrl_trunc,dconf_method,dev_target,ece_ctrl_temp,ece_ctrl_trunc,ece_direct,ece_method,gap_temp_hi,gap_temp_lo,gap_trunc_hi,gap_trunc_lo,method,model,n_dev_unchanged,rho_temp,rho_trunc,stratum,verdict
0.65,0.23755411411117988,0.17534126529136282,0.25345170800433015,0.20093611988883753,0.46659283249974115,0.3938976755404351,0.26256484829680216,0.4292820872152762,0.0027267566835402434,-0.034908887816068615,-0.06151907134316161,-0.09549083175275802,vcd,q4b,260,0.9372756490049826,0.6918133109932215,low_acc,sharpening
0.95,0.037543036042740424,0.17143814120512008,0.08034917934852488,0.043671793919621095,0.29751251475382046,0.3938976755404351,0.26256484829680216,0.37272855625583245,-0.023716858558572713,-0.062191559780626265,0.11263108235924779,0.06736944534777797,m3id,q4b,330,0.4672485313122202,-0.13366387304946992,low_acc,structure
0.75,0.16620994050980117,0.1591962262478733,0.1583688156607077,0.14727132229917894,0.3970278460884381,0.3938976755404351,0.26256484829680216,0.39338108489300283,0.011930352626199034,0.0037403026247283745,0.00217464234158552,-0.0005210767502545193,dola,q4b,359,0.9504882017562571,0.9947754197459034,low_acc,sharpening
0.75,0.17103516230616522,0.16592328540928675,0.18171312626717345,0.1526522264787645,0.3970278460884381,0.3938976755404351,0.26256484829680216,0.4345170743139096,0.0027619025106234312,-0.024586783786693055,-0.0012824430926929279,-0.030554037920473346,deco,q4b,330,0.9412372447694924,0.9131056672555903,low_acc,sharpening
0.65,0.1837668975368348,0.14407044629323432,0.17559567787405533,0.20093611988883753,0.0803091156777019,0.13133140077184804,0.2558200257625563,0.11107440446074128,0.019849368190465767,-0.0032902507088105643,-0.020837441240613035,-0.042130780091964935,vcd,q4b,260,0.9534657130419791,0.8204669274181552,high_acc,sharpening
0.95,0.03493648216961679,0.1411067015337579,0.018274481756472016,0.043671793919621095,0.2213429474363531,0.13133140077184804,0.2558200257625563,0.2178733657437859,0.024830583921978542,0.0059285409651720945,0.13308257057567782,0.11186539971603562,m3id,q4b,330,0.08823677545636399,-5.721515904755226,high_acc,structure
0.75,0.14309816984405374,0.13906572527598457,0.137169828080655,0.14727132229917894,0.11298784577454817,0.13133140077184804,0.2558200257625563,0.13170540988022558,0.01031906806118127,0.0018225376499135782,0.002985022531171739,0.0007651998632790258,dola,q4b,359,0.9567810075557366,0.9861784678025929,high_acc,sharpening
0.75,0.1445512666502713,0.14259430195911937,0.1475139081363052,0.1526522264787645,0.11298784577454817,0.13133140077184804,0.2558200257625563,0.12780540000568047,0.007841249485899765,-0.013491086900401301,0.006846812004849283,-0.017289622042442138,deco,q4b,330,0.9799161887616972,0.9666498824460672,high_acc,sharpening
0.8,0.12028209099888562,0.1350252542669021,0.18033799028896785,0.11984939712124902,0.25787934588127187,0.26541655458253,0.14801826417446134,0.3134009603907665,-0.039919340479894753,-0.0793497818704206,-0.02754528337106831,-0.06419422892402471,vcd,q9b,259,0.6669814319553491,0.748734385087368,low_acc,partial
0.95,0.029788971594942176,0.13139991225774705,0.0557087786238769,0.033731931966284046,0.17472550456317656,0.26541655458253,0.14801826417446134,0.2953619937847058,-0.011633162504441557,-0.041738653745840466,0.09240725682232602,0.05725594290427817,m3id,q9b,345,0.5347267043146869,-0.35869310912210106,low_acc,partial
0.8,0.10892617436999072,0.11902924799938983,0.1256892065700346,0.11308651843941525,0.25787934588127187,0.26541655458253,0.14801826417446134,0.3536942997326454,-0.01036459297366267,-0.02409466836496974,-0.0017492127566084163,-0.0129864376009142,dola,q9b,304,0.8666310922194942,0.9470124861760997,low_acc,sharpening
0.9,0.05558238875160889,0.12085937778643802,0.07592156869761738,0.06764826369146969,0.2017670372798725,0.26541655458253,0.14801826417446134,0.2430285516753793,-0.014841757011724686,-0.02589350136356817,0.05236110272474848,0.03695624879743333,deco,q9b,344,0.7321027437273331,0.4081022052139064,low_acc,partial
0.8,0.10160874248055356,0.11184545350216575,0.08170113092796369,0.11984939712124902,0.18966859729015292,0.187050227232631,0.2906745843340953,0.2151615218818188,0.0329749492506143,0.007059104465897698,0.04124973174010955,0.01992946293809563,vcd,q9b,259,0.7563361568379939,0.6310415506881971,high_acc,partial
0.95,0.02695062910250144,0.10657575195942176,0.008159018949502043,0.033731931966284046,0.26370724222845837,0.187050227232631,0.2906745843340953,0.2724058130383492,0.023709601511339155,0.012863267960981946,0.10639457790366634,0.09014618645482726,m3id,q9b,345,-1.3031703038447136,-11.06232435774968,high_acc,structure
0.8,0.0980589802264892,0.10407631717876362,0.1044262823585851,0.11308651843941525,0.18966859729015292,0.187050227232631,0.2906745843340953,0.19948010024925072,7.844591291948129e-05,-0.01268746779182521,0.00417661904357,-0.004876511190025967,dola,q9b,304,0.9390258660149226,0.9966486867872998,high_acc,sharpening
0.9,0.05279215282321017,0.10675902724909828,0.062385104725815654,0.06764826369146969,0.24045011799982033,0.187050227232631,0.2906745843340953,0.22720114015042783,-0.005371665282321153,-0.013826932784793291,0.05058893258862298,0.03819742477745421,deco,q9b,344,0.8462300905838536,0.2887096572441884,high_acc,sharpening
0.65,0.20914574396469468,0.13082280933244797,0.2542844473832125,0.21258057681195466,0.5705255301256205,0.48978636111523915,0.3790240654225151,0.6100565557926894,-0.0270494096409563,-0.0635645115329534,-0.10465915891769315,-0.14293851006376357,vcd,llava16,273,0.822487360579734,0.5144742853081179,low_acc,sharpening
