acc_d,acc_m,dconf,dece,dece_range,draw,ece_d,ece_m,exceeds_20pct,model,n,n_unchanged,spread_dconf,spread_over_base,stratum
0.16,0.21666666666666667,0.25345170800433015,0.16671723891847406,"[+0.153,+0.167]",vcd,0.26256484829680216,0.4292820872152762,False,q4b,600,330,0.015361862274221538,0.06061060860540378,low_acc
0.8366666666666667,0.8216666666666667,0.17559567787405533,-0.144745621301815,"[-0.145,-0.129]",vcd,0.2558200257625563,0.11107440446074128,False,q4b,600,434,0.0064334104002583825,0.03663763526612937,high_acc
0.16,0.21833333333333332,0.25066705452670685,0.1626465986699588,"[+0.153,+0.167]",vcd_s2,0.26256484829680216,0.42521144696676094,False,q4b,600,337,0.015361862274221538,0.06061060860540378,low_acc
0.8366666666666667,0.82,0.17094894467542568,-0.13827253484451174,"[-0.145,-0.129]",vcd_s2,0.2558200257625563,0.11754749091804456,False,q4b,600,432,0.0064334104002583825,0.03663763526612937,high_acc
0.16,0.23166666666666666,0.2660289168009284,0.15254514558965704,"[+0.153,+0.167]",vcd_s3,0.26256484829680216,0.4151099938864592,False,q4b,600,342,0.015361862274221538,0.06061060860540378,low_acc
0.8366666666666667,0.8166666666666667,0.16916226747379695,-0.12915908473920312,"[-0.145,-0.129]",vcd_s3,0.2558200257625563,0.12666094102335318,False,q4b,600,437,0.0064334104002583825,0.03663763526612937,high_acc
0.24666666666666667,0.30333333333333334,0.18033799028896785,0.16538269621630514,"[+0.155,+0.165]",vcd,0.14801826417446134,0.3134009603907665,False,q9b,600,286,0.021303274826661334,0.11812971184011557,low_acc
0.9183333333333333,0.9166666666666666,0.08170113092796369,-0.07551306245227651,"[-0.079,-0.076]",vcd,0.2906745843340953,0.2151615218818188,False,q9b,600,440,0.00632699291872689,0.07744070182217468,high_acc
0.24666666666666667,0.30666666666666664,0.17315552518671792,0.1550300478686889,"[+0.155,+0.165]",vcd_s2,0.14801826417446134,0.30304831204315025,False,q9b,600,298,0.021303274826661334,0.11812971184011557,low_acc
0.9183333333333333,0.91,0.08802812384669058,-0.07859245769679549,"[-0.079,-0.076]",vcd_s2,0.2906745843340953,0.21208212663729983,False,q9b,600,442,0.00632699291872689,0.07744070182217468,high_acc
0.24666666666666667,0.30833333333333335,0.19445880001337926,0.15825654422243435,"[+0.155,+0.165]",vcd_s3,0.14801826417446134,0.3062748083968957,False,q9b,600,281,0.021303274826661334,0.11812971184011557,low_acc
0.9183333333333333,0.91,0.08501670228708409,-0.07707633207241693,"[-0.079,-0.076]",vcd_s3,0.2906745843340953,0.2135982522616784,False,q9b,600,443,0.00632699291872689,0.07744070182217468,high_acc
