full_dconf,full_dece,layers_top,model,stratum,subset_acc_d,subset_acc_m,subset_dconf,subset_dece,subset_did,subset_ece_d,subset_ece_m,subset_n,subset_n_unchanged
0.1583688156607077,0.13081623659620067,0:784;8:484;14:119;2:24;20:22,q4b,low_acc,0.16,0.15833333333333333,0.15852700104412523,0.13262405759850915,0.25644267771318224,0.26256484829680216,0.3951889058953113,600,515
0.137169828080655,-0.12411461588233072,0:763;8:393;14:217;20:70;24:48,q4b,high_acc,0.8366666666666667,0.8383333333333334,0.13721973031164297,-0.1238186201146731,0.25644267771318224,0.2558200257625563,0.1320014056478832,600,551
0.1256892065700346,0.20567603555818403,0:1538;30:175;28:48;22:43;20:25,q9b,low_acc,0.24666666666666667,0.25166666666666665,0.12066071874691632,0.16118653686096274,0.2656015528614323,0.14801826417446134,0.3092048010354241,600,499
0.1044262823585851,-0.0911944840848446,0:1500;30:222;28:36;20:8;22:6,q9b,high_acc,0.9183333333333333,0.8833333333333333,0.10279327245569521,-0.10441501600046951,0.2656015528614323,0.2906745843340953,0.1862595683336258,600,491
