d_m,equivalent_within_0.02,hi90,lo90,method,model,stratum
-0.10209771200337361,False,-0.061531257389178716,-0.1452395683671441,vcd,q4b,low_acc
-0.13136011085425153,False,-0.07046405263998777,-0.19854049279182148,m3id,q4b,low_acc
0.002853587607929281,True,0.01139096222089152,-0.0062929129293386316,dola,q4b,low_acc
0.08645815517247088,False,0.11197931469730857,0.06062988893097686,deco,q4b,low_acc
0.005709392570584004,False,0.042092807815074365,-0.033712635007513994,vcd,q4b,high_acc
0.0677357173060624,False,0.1162758407649528,0.021388336363675334,m3id,q4b,high_acc
-0.011412332838496658,False,-0.0007711379463495797,-0.021823235796268773,dola,q4b,high_acc
0.10144268844033333,False,0.13572594995537268,0.06888048220634327,deco,q4b,high_acc
-0.041974159443685904,False,-0.006557693444236199,-0.07764643547730002,vcd,q9b,low_acc
0.050650070912407384,False,0.07274394646125956,0.027435974997639882,m3id,q9b,low_acc
-0.0008562777008302297,True,0.012851933920113624,-0.015014260379928986,dola,q9b,low_acc
0.02551087028544604,False,0.033605355796380625,0.01752139634964522,deco,q9b,low_acc
0.1247279902563868,False,0.18147925227217412,0.0684364881854662,vcd,q9b,high_acc
0.04148539321062229,False,0.08884985152321645,-0.00020948179221102036,m3id,q9b,high_acc
0.027565770477389756,False,0.05773973129041486,0.0013460735286787951,dola,q9b,high_acc
-0.001423514640489905,True,0.0135057769090287,-0.015232271975886422,deco,q9b,high_acc
0.09422046033711792,False,0.13961580561786172,0.050924475107170596,vcd,llava16,high_acc
0.05120296560502552,False,0.09016002464241557,0.01326362880795019,m3id,llava16,high_acc
-0.024072554066932816,False,-0.016514053559245546,-0.030948789938603248,dola,llava16,high_acc
0.006401309818884114,True,0.012147803608131407,0.0009114555245562626,deco,llava16,high_acc
0.010643851316859021,False,0.06265110011785835,-0.04029692420071018,vcd,internvl4b,high_acc
0.007770416934480202,False,0.037309574298688856,-0.01416592285533938,m3id,internvl4b,high_acc
-0.011618215275525513,False,-0.0006797497780660117,-0.02170935275979804,deco,internvl4b,high_acc
