population,model,domain,group,method,n,acc_direct,gap_direct,ece_direct,ece_method,d_ece
class,q4b,food101,nachos,vcd,24,0.9583,-0.2113,0.2279,0.0749,-0.153
class,q4b,food101,omelette,vcd,24,0.4583,0.0494,0.2365,0.3371,0.1006
class,q4b,food101,onion_rings,vcd,24,1.0,-0.3243,0.3243,0.0589,-0.2654
class,q4b,food101,oysters,vcd,24,0.9167,-0.2281,0.2818,0.1263,-0.1556
class,q4b,food101,pad_thai,vcd,24,0.2083,0.1104,0.2209,0.2948,0.0739
class,q4b,food101,paella,vcd,24,0.625,-0.1066,0.1681,0.2011,0.033
class,q4b,food101,pancakes,vcd,24,0.875,-0.3489,0.3681,0.129,-0.239
class,q4b,food101,panna_cotta,vcd,24,0.0,0.4376,0.4376,0.7023,0.2647
class,q4b,food101,peking_duck,vcd,24,0.4167,-0.1253,0.1302,0.2112,0.081
class,q4b,food101,pho,vcd,24,0.0417,0.5958,0.6228,0.7333,0.1106
class,q4b,food101,pizza,vcd,24,0.9583,-0.3482,0.3482,0.1897,-0.1585
class,q4b,food101,pork_chop,vcd,24,0.2083,0.1948,0.4165,0.5426,0.126
class,q4b,food101,poutine,vcd,24,0.6667,-0.1948,0.2209,0.4694,0.2485
class,q4b,food101,prime_rib,vcd,24,0.0,0.4201,0.4201,0.7558,0.3357
class,q4b,food101,pulled_pork_sandwich,vcd,24,0.8333,-0.3263,0.3326,0.1782,-0.1544
class,q4b,food101,ramen,vcd,24,0.6667,-0.1951,0.2405,0.0963,-0.1442
class,q4b,food101,ravioli,vcd,24,0.5417,-0.1427,0.1427,0.2329,0.0902
class,q4b,food101,red_velvet_cake,vcd,24,0.75,-0.2278,0.2994,0.1327,-0.1667
class,q4b,food101,risotto,vcd,24,0.3333,0.1062,0.2125,0.231,0.0185
class,q4b,food101,samosa,vcd,24,0.8333,-0.1138,0.1584,0.1644,0.0059
class,q4b,food101,sashimi,vcd,24,0.75,-0.3601,0.3601,0.4377,0.0776
class,q4b,food101,scallops,vcd,24,0.25,0.2663,0.2663,0.359,0.0927
class,q4b,food101,seaweed_salad,vcd,24,0.875,-0.4894,0.5357,0.2295,-0.3062
class,q4b,food101,shrimp_and_grits,vcd,24,0.375,0.0314,0.2638,0.5361,0.2723
class,q4b,food101,spaghetti_bolognese,vcd,24,0.9167,-0.3222,0.3576,0.1729,-0.1847
class,q4b,food101,spaghetti_carbonara,vcd,24,1.0,-0.3101,0.3101,0.028,-0.2822
class,q4b,food101,spring_rolls,vcd,24,0.875,-0.3801,0.3801,0.1643,-0.2158
class,q4b,food101,steak,vcd,24,0.5,-0.0324,0.193,0.2423,0.0493
class,q4b,food101,strawberry_shortcake,vcd,24,0.0,0.458,0.458,0.8725,0.4145
class,q4b,food101,sushi,vcd,24,0.9167,-0.0823,0.1533,0.054,-0.0993
class,q4b,food101,tacos,vcd,24,0.875,-0.3615,0.3615,0.1512,-0.2103
class,q4b,food101,takoyaki,vcd,24,0.5417,-0.1345,0.2503,0.3101,0.0598
