drift,increment_eval,method,model,offset_dev,stratum
-0.05251558811549262,0.25345170800433015,vcd,q4b,0.20093611988883753,low_acc
-0.03667738542890379,0.08034917934852488,m3id,q4b,0.043671793919621095,low_acc
-0.011097493361528765,0.1583688156607077,dola,q4b,0.14727132229917894,low_acc
-0.02906089978840895,0.18171312626717345,deco,q4b,0.1526522264787645,low_acc
0.025340442014782194,0.17559567787405533,vcd,q4b,0.20093611988883753,high_acc
0.02539731216314908,0.018274481756472016,m3id,q4b,0.043671793919621095,high_acc
0.010101494218523938,0.137169828080655,dola,q4b,0.14727132229917894,high_acc
0.005138318342459314,0.1475139081363052,deco,q4b,0.1526522264787645,high_acc
-0.06048859316771883,0.18033799028896785,vcd,q9b,0.11984939712124902,low_acc
-0.021976846657592856,0.0557087786238769,m3id,q9b,0.033731931966284046,low_acc
-0.01260268813061935,0.1256892065700346,dola,q9b,0.11308651843941525,low_acc
-0.008273305006147688,0.07592156869761738,deco,q9b,0.06764826369146969,low_acc
0.03814826619328533,0.08170113092796369,vcd,q9b,0.11984939712124902,high_acc
0.025572913016782002,0.008159018949502043,m3id,q9b,0.033731931966284046,high_acc
0.00866023608083015,0.1044262823585851,dola,q9b,0.11308651843941525,high_acc
0.005263158965654033,0.062385104725815654,deco,q9b,0.06764826369146969,high_acc
-0.006028199707565435,0.2186087765195201,vcd,llava16,0.21258057681195466,high_acc
0.027791873142954563,0.019324471498282137,m3id,llava16,0.0471163446412367,high_acc
-0.01339599577450315,0.139269346841658,dola,llava16,0.12587335106715486,high_acc
-0.002561603517625903,0.05664476754990491,deco,llava16,0.05408316403227901,high_acc
0.03534679731389356,0.14936478606337666,vcd,internvl4b,0.18471158337727023,high_acc
0.0314998132708602,0.008739399085769723,m3id,internvl4b,0.040239212356629916,high_acc
-0.008650316832227598,0.07202853566724739,deco,internvl4b,0.06337821883501979,high_acc
