model,method,stratum,direct,intervention,offset_removed
q4b,vcd,low_acc,0.26256484829680216,0.4292820872152762,0.265642123700657
q4b,vcd,high_acc,0.2558200257625563,0.11107440446074128,0.2604543801492602
internvl4b,dola,low_acc,0.3458144494642815,0.85847774853309,0.6127086890529632
internvl4b,dola,high_acc,0.2275949929654598,0.2578063256541887,0.017302392504696257
